"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 10 06:55:43 GMT 2025","Tue Jun 10 06:55:45 GMT 2025","1937","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Jun 10 06:55:39 GMT 2025","Tue Jun 10 06:55:42 GMT 2025","2772","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Jun 10 06:55:42 GMT 2025","Tue Jun 10 06:55:46 GMT 2025","3348","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Jun 10 06:55:35 GMT 2025","Tue Jun 10 06:55:37 GMT 2025","1671","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Jun 10 06:55:33 GMT 2025","Tue Jun 10 06:55:35 GMT 2025","1661","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 06:55:31 GMT 2025","Tue Jun 10 06:55:33 GMT 2025","1908","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 06:55:37 GMT 2025","Tue Jun 10 06:55:39 GMT 2025","1820","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Jun 10 06:55:41 GMT 2025","Tue Jun 10 06:55:43 GMT 2025","1662","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Jun 10 06:55:33 GMT 2025","Tue Jun 10 06:55:37 GMT 2025","3409","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Jun 10 06:55:31 GMT 2025","Tue Jun 10 06:55:33 GMT 2025","1875","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
