"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 10 06:13:39 GMT 2025","Tue Jun 10 06:13:41 GMT 2025","1842","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 06:13:51 GMT 2025","Tue Jun 10 06:13:53 GMT 2025","2121","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Jun 10 06:13:41 GMT 2025","Tue Jun 10 06:13:45 GMT 2025","3615","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Jun 10 06:13:51 GMT 2025","Tue Jun 10 06:13:54 GMT 2025","3165","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Jun 10 06:13:45 GMT 2025","Tue Jun 10 06:13:47 GMT 2025","1701","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Jun 10 06:13:49 GMT 2025","Tue Jun 10 06:13:50 GMT 2025","1535","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Jun 10 06:13:44 GMT 2025","Tue Jun 10 06:13:46 GMT 2025","2295","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Jun 10 06:13:41 GMT 2025","Tue Jun 10 06:13:43 GMT 2025","1799","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 06:13:48 GMT 2025","Tue Jun 10 06:13:50 GMT 2025","2483","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Jun 10 06:13:39 GMT 2025","Tue Jun 10 06:13:41 GMT 2025","1899","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
